"Geographic Level","Geographic Name","Demographic Level","Demographic Name","Indicator_label","Indicator_category_label","Month_Week","Week_ending","Current_Season_Week_Ending_Label","Estimate","CI_Half_width_95pct","Unweighted Sample Size","Weighted Sample Size","Legend_Label","Indicator_Category_Label_Sort","Demographic_Level_Sort_Order","Geography_name_order","Geography_Level_Sort_Order","Season_Sort","Legend_Sort","suppression_flag","influenza_season"
"National","National","Age","6 months-4 years","4-level vaccination and intent","Definitely will get a vaccine","November Week 4","2023 Nov 25 12:00:00 AM","2025-11-22","11.8937","2.8503","1323","16743317","2023-2024, National. Age: 6 months-4 years","2","2","1","1","3","3010203","0","2023-2024"
"State","South Dakota","Overall","Overall","4-level vaccination and intent","Probably will get a vaccine","October Week 2","2025 Oct 11 12:00:00 AM","2025-10-11","22.0208","12.0013","74","448383","2025-2026, South Dakota. Overall (6 months-17 years)","3","1","55","3","1","1550101","0","2025-2026"
"National","National","Age","6 months-4 years","4-level vaccination and intent","Probably will get a vaccine","November Week 4","2023 Nov 25 12:00:00 AM","2025-11-22","14.9876","3.3721","1323","16743317","2023-2024, National. Age: 6 months-4 years","3","2","1","1","3","3010203","0","2023-2024"
"State","Utah","Overall","Overall","4-level vaccination and intent","Definitely or probably will not get a vaccine","October Week 2","2025 Oct 11 12:00:00 AM","2025-10-11","39.6595","19.745","38","966116","2025-2026, Utah. Overall (6 months-17 years)","4","1","59","3","1","1590101","0","2025-2026"
"State","Tennessee","Overall","Overall","4-level vaccination and intent","Received a vaccination","October Week 2","2025 Oct 11 12:00:00 AM","2025-10-11","17.356","7.7144","805","1511795","2025-2026, Tennessee. Overall (6 months-17 years)","1","1","56","3","1","1560101","0","2025-2026"
"National","National","Age","6 months-4 years","4-level vaccination and intent","Received a vaccination","November Week 4","2023 Nov 25 12:00:00 AM","2025-11-22","45.8471","1.1383","44626","16743317","2023-2024, National. Age: 6 months-4 years","1","2","1","1","3","3010203","0","2023-2024"
"State","U.S. Virgin Islands","Overall","Overall","Up-to-date","Yes","October Week 2","2025 Oct 11 12:00:00 AM","2025-10-11","16.9526","8.1313","299","16605","2025-2026, Virgin Islands. Overall (6 months-17 years)",,"1","58","3","1","1580101","0","2025-2026"
"National","National","Age","6 months-4 years","Up-to-date","Yes","November Week 4","2023 Nov 25 12:00:00 AM","2025-11-22","45.8471","1.1383","44626","16743317","2023-2024, National. Age: 6 months-4 years",,"2","1","1","3","3010203","0","2023-2024"
"State","Connecticut","Overall","Overall","4-level vaccination and intent","Received a vaccination","October Week 2","2025 Oct 11 12:00:00 AM","2025-10-11","24.0805","5.9086","915","787516","2025-2026, Connecticut. Overall (6 months-17 years)","1","1","18","3","1","1180101","0","2025-2026"
"State","Wisconsin","Overall","Overall","4-level vaccination and intent","Received a vaccination","October Week 2","2025 Oct 11 12:00:00 AM","2025-10-11","30.2444","13.5655","789","1117488","2025-2026, Wisconsin. Overall (6 months-17 years)","1","1","64","3","1","1640101","0","2025-2026"
